Strain,Mutations,Number/ID,Nor Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,4:29,E3,0.169
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,4:29,F2,0.367
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,4:29,F3,0.172
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,4:29,G2,0.393
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,4:29,G3,0.168
BL21,wt,JOE2354,0 ng/mL,6-Sep,4:29,H2,0.408
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,4:29,H3,0.168
BL21,wt,JOE2354,5 ng/mL,20-Sep,4:29,F2,0.32
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,4:29,F3,0.191
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,4:29,G2,0.419
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,4:29,G3,0.185
BL21,wt,JOE2354,0 ng/mL,20-Sep,4:29,H2,0.544
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,4:29,H3,0.187
BL21,wt,JOE2354,5 ng/mL,25-Aug,4:59,F2,0.288
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,4:59,F3,0.194
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,4:59,G2,0.367
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,4:59,G3,0.193
BL21,wt,JOE2354,0 ng/mL,25-Aug,4:59,H2,0.431
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,4:59,H3,0.192
BL21,wt,JOE2354,5 ng/mL,1-Sep,4:59,E2,0.301
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,4:59,E3,0.235
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,4:59,F2,0.471
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,4:59,F3,0.258
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,4:59,G2,0.522
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,4:59,G3,0.27
BL21,wt,JOE2354,0 ng/mL,1-Sep,4:59,H2,0.535
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,4:59,H3,0.285
BL21,wt,JOE2354,5 ng/mL,6-Sep,4:59,E2,0.299
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,4:59,E3,0.173
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,4:59,F2,0.462
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,4:59,F3,0.195
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,4:59,G2,0.505
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,4:59,G3,0.2
BL21,wt,JOE2354,0 ng/mL,6-Sep,4:59,H2,0.521
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,4:59,H3,0.209
BL21,wt,JOE2354,5 ng/mL,20-Sep,4:59,F2,0.321
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,4:59,F3,0.183
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,4:59,G2,0.486
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,4:59,G3,0.201
BL21,wt,JOE2354,0 ng/mL,20-Sep,4:59,H2,0.637
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,4:59,H3,0.23
BL21,wt,JOE2354,5 ng/mL,25-Aug,5:29,F2,0.297
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,5:29,F3,0.221
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,5:29,G2,0.453
