Strain,Mutations,Number/ID,Tet Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,wt,JOE2354,0 ng/mL,9/13/2022,12:59,H2,1.165
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,12:59,H3,1.027
BL21,wt,JOE2354,156 ng/mL,7/25/2022,13:29,E2,0.278
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,13:29,E3,0.116
BL21,wt,JOE2354,78 ng/mL,7/25/2022,13:29,F2,0.889
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,13:29,F3,0.277
BL21,wt,JOE2354,0 ng/mL,7/25/2022,13:29,H2,1.196
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,13:29,H3,1.115
BL21,wt,JOE2354,156 ng/mL,9/13/2022,13:29,E2,0.381
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,13:29,E3,0.102
BL21,wt,JOE2354,78 ng/mL,9/13/2022,13:29,F2,0.919
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,13:29,F3,0.181
BL21,wt,JOE2354,0 ng/mL,9/13/2022,13:29,H2,1.171
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,13:29,H3,1.044
BL21,wt,JOE2354,156 ng/mL,7/25/2022,13:59,E2,0.301
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,13:59,E3,0.12
BL21,wt,JOE2354,78 ng/mL,7/25/2022,13:59,F2,0.921
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,13:59,F3,0.32
BL21,wt,JOE2354,0 ng/mL,7/25/2022,13:59,H2,1.2
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,13:59,H3,1.132
BL21,wt,JOE2354,156 ng/mL,9/13/2022,13:59,E2,0.432
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,13:59,E3,0.103
BL21,wt,JOE2354,78 ng/mL,9/13/2022,13:59,F2,0.952
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,13:59,F3,0.2
BL21,wt,JOE2354,0 ng/mL,9/13/2022,13:59,H2,1.176
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,13:59,H3,1.058
BL21,wt,JOE2354,156 ng/mL,7/25/2022,14:29,E2,0.335
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,14:29,E3,0.125
BL21,wt,JOE2354,78 ng/mL,7/25/2022,14:29,F2,0.96
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,14:29,F3,0.374
BL21,wt,JOE2354,0 ng/mL,7/25/2022,14:29,H2,1.205
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,14:29,H3,1.142
BL21,wt,JOE2354,156 ng/mL,9/13/2022,14:29,E2,0.474
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,14:29,E3,0.104
BL21,wt,JOE2354,78 ng/mL,9/13/2022,14:29,F2,0.974
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,14:29,F3,0.226
BL21,wt,JOE2354,0 ng/mL,9/13/2022,14:29,H2,1.179
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,14:29,H3,1.072
BL21,wt,JOE2354,156 ng/mL,7/25/2022,14:59,E2,0.372
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,14:59,E3,0.133
BL21,wt,JOE2354,78 ng/mL,7/25/2022,14:59,F2,0.993
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,14:59,F3,0.449
BL21,wt,JOE2354,0 ng/mL,7/25/2022,14:59,H2,1.209
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,14:59,H3,1.15
BL21,wt,JOE2354,156 ng/mL,9/13/2022,14:59,E2,0.52
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,14:59,E3,0.105
BL21,wt,JOE2354,78 ng/mL,9/13/2022,14:59,F2,0.995
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,14:59,F3,0.257
BL21,wt,JOE2354,0 ng/mL,9/13/2022,14:59,H2,1.185
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,14:59,H3,1.087
BL21,wt,JOE2354,156 ng/mL,7/25/2022,15:29,E2,0.414
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,15:29,E3,0.144
BL21,wt,JOE2354,78 ng/mL,7/25/2022,15:29,F2,1.012
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,15:29,F3,0.508
BL21,wt,JOE2354,0 ng/mL,7/25/2022,15:29,H2,1.213
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,15:29,H3,1.159
BL21,wt,JOE2354,156 ng/mL,9/13/2022,15:29,E2,0.566
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,15:29,E3,0.107
BL21,wt,JOE2354,78 ng/mL,9/13/2022,15:29,F2,1.017
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,15:29,F3,0.295
BL21,wt,JOE2354,0 ng/mL,9/13/2022,15:29,H2,1.186
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,15:29,H3,1.1
BL21,wt,JOE2354,156 ng/mL,7/25/2022,15:59,E2,0.448
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,15:59,E3,0.162
BL21,wt,JOE2354,78 ng/mL,7/25/2022,15:59,F2,1.034
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,15:59,F3,0.582
BL21,wt,JOE2354,0 ng/mL,7/25/2022,15:59,H2,1.218
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,15:59,H3,1.165
BL21,wt,JOE2354,156 ng/mL,9/13/2022,15:59,E2,0.63
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,15:59,E3,0.108
BL21,wt,JOE2354,78 ng/mL,9/13/2022,15:59,F2,1.035
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,15:59,F3,0.344
BL21,wt,JOE2354,0 ng/mL,9/13/2022,15:59,H2,1.189
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,15:59,H3,1.111
BL21,wt,JOE2354,156 ng/mL,7/25/2022,16:29,E2,0.481
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,16:29,E3,0.187
BL21,wt,JOE2354,78 ng/mL,7/25/2022,16:29,F2,1.055
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,16:29,F3,0.654
BL21,wt,JOE2354,0 ng/mL,7/25/2022,16:29,H2,1.224
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,16:29,H3,1.177
BL21,wt,JOE2354,156 ng/mL,9/13/2022,16:29,E2,0.669
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,16:29,E3,0.11
BL21,wt,JOE2354,78 ng/mL,9/13/2022,16:29,F2,1.052
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,16:29,F3,0.411
BL21,wt,JOE2354,0 ng/mL,9/13/2022,16:29,H2,1.195
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,16:29,H3,1.122
BL21,wt,JOE2354,156 ng/mL,7/25/2022,16:59,E2,0.518
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,16:59,E3,0.232
BL21,wt,JOE2354,78 ng/mL,7/25/2022,16:59,F2,1.071
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,16:59,F3,0.736
BL21,wt,JOE2354,0 ng/mL,7/25/2022,16:59,H2,1.228
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,16:59,H3,1.182
BL21,wt,JOE2354,156 ng/mL,9/13/2022,16:59,E2,0.693
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,16:59,E3,0.112
BL21,wt,JOE2354,78 ng/mL,9/13/2022,16:59,F2,1.068
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,16:59,F3,0.467
BL21,wt,JOE2354,0 ng/mL,9/13/2022,16:59,H2,1.198
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,16:59,H3,1.126
BL21,wt,JOE2354,156 ng/mL,7/25/2022,17:29,E2,0.56
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,17:29,E3,0.259
BL21,wt,JOE2354,78 ng/mL,7/25/2022,17:29,F2,1.085
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,17:29,F3,0.782
BL21,wt,JOE2354,0 ng/mL,7/25/2022,17:29,H2,1.231
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,17:29,H3,1.186
BL21,wt,JOE2354,156 ng/mL,9/13/2022,17:29,E2,0.719
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,17:29,E3,0.115
BL21,wt,JOE2354,78 ng/mL,9/13/2022,17:29,F2,1.082
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,17:29,F3,0.525
BL21,wt,JOE2354,0 ng/mL,9/13/2022,17:29,H2,1.2
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,17:29,H3,1.133
BL21,wt,JOE2354,156 ng/mL,7/25/2022,17:59,E2,0.615
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,17:59,E3,0.306
BL21,wt,JOE2354,78 ng/mL,7/25/2022,17:59,F2,1.097
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,17:59,F3,0.825
BL21,wt,JOE2354,0 ng/mL,7/25/2022,17:59,H2,1.234
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,17:59,H3,1.19
BL21,wt,JOE2354,156 ng/mL,9/13/2022,17:59,E2,0.747
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,17:59,E3,0.118
BL21,wt,JOE2354,78 ng/mL,9/13/2022,17:59,F2,1.096
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,17:59,F3,0.595
BL21,wt,JOE2354,0 ng/mL,9/13/2022,17:59,H2,1.203
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,17:59,H3,1.138
BL21,wt,JOE2354,156 ng/mL,7/25/2022,18:29,E2,0.648
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,18:29,E3,0.371
BL21,wt,JOE2354,78 ng/mL,7/25/2022,18:29,F2,1.108
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,18:29,F3,0.868
BL21,wt,JOE2354,0 ng/mL,7/25/2022,18:29,H2,1.237
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,18:29,H3,1.189
BL21,wt,JOE2354,156 ng/mL,9/13/2022,18:29,E2,0.775
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,18:29,E3,0.122
BL21,wt,JOE2354,78 ng/mL,9/13/2022,18:29,F2,1.109
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,18:29,F3,0.626
BL21,wt,JOE2354,0 ng/mL,9/13/2022,18:29,H2,1.205
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,18:29,H3,1.143
BL21,wt,JOE2354,156 ng/mL,7/25/2022,18:59,E2,0.671
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,18:59,E3,0.426
BL21,wt,JOE2354,78 ng/mL,7/25/2022,18:59,F2,1.12
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,18:59,F3,0.916
BL21,wt,JOE2354,0 ng/mL,7/25/2022,18:59,H2,1.24
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,18:59,H3,1.194
BL21,wt,JOE2354,156 ng/mL,9/13/2022,18:59,E2,0.803
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,18:59,E3,0.127
BL21,wt,JOE2354,78 ng/mL,9/13/2022,18:59,F2,1.122
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,18:59,F3,0.659
BL21,wt,JOE2354,0 ng/mL,9/13/2022,18:59,H2,1.208
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,18:59,H3,1.144
BL21,wt,JOE2354,156 ng/mL,7/25/2022,19:29,E2,0.695
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,19:29,E3,0.511
BL21,wt,JOE2354,78 ng/mL,7/25/2022,19:29,F2,1.13
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,19:29,F3,0.964
BL21,wt,JOE2354,0 ng/mL,7/25/2022,19:29,H2,1.243
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,19:29,H3,1.194
BL21,wt,JOE2354,156 ng/mL,9/13/2022,19:29,E2,0.835
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,19:29,E3,0.133
BL21,wt,JOE2354,78 ng/mL,9/13/2022,19:29,F2,1.134
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,19:29,F3,0.696
BL21,wt,JOE2354,0 ng/mL,9/13/2022,19:29,H2,1.21
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,19:29,H3,1.149
BL21,wt,JOE2354,156 ng/mL,7/25/2022,19:59,E2,0.716
